seg	id	title	who	url	quote	missing	evidence
S1	OPEN-11	The alternative (multi-layer) Mamba page-padding strategy is documented as unfinished	vLLM maintainers, in the shipped design doc	https://raw.githubusercontent.com/vllm-project/vllm/main/docs/design/hybrid_kv_cache_manager.md	"This can lead to more than 400 `block_size` for attention layers, which is too large. Another padding strategy is to increase `block_size` until" … "This padding strategy is still a work in progress."	any shipped implementation of the second padding strategy. The doc's own warning header also states verbatim: "This document was written based on commit [458e74](...) . This feature is still in its early stage and things may change." The consequence is visible in the field: issue #40696 reports an aligned block size of 528 tokens and #24280 reports 672 tokens; a vLLM user reports 1600 tokens and 2096 tokens for 122B/397B on #54199/#45238.	READ BODY
S10	OPEN-1	KV transfer failures are not reported to the scheduler for Mooncake P2P, so PD requests hang	vLLM issue #55870 (reporter on Ascend A3 with MultiConnector + MooncakeConnector), and an open fix PR #56166 by LH-and-FPGA submitting on 2026-09-09	https://github.com/vllm-project/vllm/issues/55870	"In the inspected implementation, discovery failure and per-request transfer errors appear to lack the scheduler-visible failure handling needed to unblock remote-KV waits."	The scheduler is never notified of decode-side pull failures, so requests sit in `WAITING_FOR_REMOTE_KVS` until client timeout. The open PR #56166 describes the three dropping paths: "`_connect_to_prefiller_bootstrap()` does not propagate bootstrap failure to callers. `handle_new_engine_id()` bare-returns when the remote engine is unavailable, abandoning the pending `PullReqMeta` s. `process_pulling_result()` handles `ok_reqs` but only logs `err_reqs`." It notes the contrast: "NixlConnector already reports both handshake and transfer failures through this mechanism; Mooncake P2P was missing the equivalent wiring."	READ BODY
S10	OPEN-2	NIXL push-mode + pipeline parallelism is refused outright for hybrid (HMA) KV layouts, and HMA still opts out of block invalidation	vLLM `NixlPushConnector` (ships a hard `NotImplementedError`), plus the residual HMA guard in the NIXL worker's failure path	https://raw.githubusercontent.com/vllm-project/vllm/main/vllm/distributed/kv_transfer/kv_connector/v1/nixl/base_worker.py	"NixlPushConnector does not support pipeline_parallel_size > 1 with hybrid KV cache layouts (HMA) yet." (raised in code as `raise NotImplementedError(...)` under `if self.pp_size > 1 and self._is_hma_required:`), immediately followed by a second refusal: "NixlPushConnector consumer (decode) does not support pipeline_parallel_size > 1."	Two distinct gaps. (a) Push-mode NIXL cannot be combined with PP>1 on any hybrid (HMA) model. The in-code explanation is "PP push slices regions per layer (uniform count); HMA breaks that." (b) In the failure path, block invalidation is still conditioned on `if not self._is_hma_required:` inside `_report_failed_recv`, so on HMA-required models a failed receive is recorded and its handle released but no invalid block IDs are published to the scheduler.	READ BODY
S10	OPEN-3	An RFC to transfer last-token hidden states over the connector is closed but the capability is not in `KVConnectorBase_V1`	vLLM issue #31064, filed for DeepSeek-R1 on Intel Gaudi/XPU	https://github.com/vllm-project/vllm/issues/31064	"This RFC proposes an **optional, backward-compatible enhancement** to `KVConnectorBase_V1` (v1-only) to transfer **last-token hidden states** alongside KV cache under P/D disaggregation." and the motivating harm: "prefix-prefill injections introduce large step-time spikes (hundreds of milliseconds to seconds), these spikes directly inflate TPOT and tail ITL"	The issue is marked CLOSED/COMPLETED, but the only hidden-states connector that ships is `ExampleHiddenStatesConnector`, whose own docstring scopes it elsewhere: "Simple debug implementation of a HiddenStatesConnector. Simply extracts the hidden states from the kv cache and stores them to disk. Must be used in conjunction with the `extract_hidden_states` spec decoding method." That is a local-disk, speculative-decoding artifact — not the general P/D hidden-state transfer the RFC asked for. The maintainer pushback recorded on the issue was: "I have an aversion to adding this complexity in order to avoid running a single forward pass for 1 token --- so just want to make sure I understand why the current impl is not working well", and the closer: "Per offline discussion with @xinyu-intel, there is a lot of complexity here. On CUDA/ROCm, we currently do a single extra forward pass, but the passes are 'pure decode' ... On Gaudi plugin, even though there is only one token scheduled, the request is treated as a prefill. Gaudi team will look into improving this." So the question is resolved-as-wontfix-by-design on CUDA/ROCm, and re-opened as an open vendor-specific problem on Gaudi.	READ BODY
S10	OPEN-4	Bidirectional KV transfer's block-alignment guarantee breaks on stripped thinking traces	vLLM NixlConnector Usage Guide "Limitations" section, with a cited open issue #43094	https://docs.vllm.ai/en/latest/features/nixl_connector_usage/	"Reasoning models with stripped thinking traces — When using reasoning models (e.g. DeepSeek-R1) that produce thinking traces (`<think>...</think>`), D's KV blocks cover the full token sequence including thinking tokens. If the client strips thinking traces from the conversation history before sending the next turn, the prompt P receives will be missing tokens from the middle of what D generated. The block-alignment logic assumes P's prompt is a prefix of D's sequence, so pulling KV blocks from D in this case transfers cache computed for the wrong token positions, producing incorrect results."	"We currently assume the router is able to detect such mismatch across turns." The correctness guarantee is pushed out of the engine into an unspecified external router. A second stated limitation is also open: host-buffer support "is planned for future work."	READ BODY
S10	OPEN-5	Aborted requests with in-flight KV transfers can take down EngineCore	vLLM PR #56089 "Wait for KV transfers before freeing aborted requests" (author root1iu, opened 2026-09-09, still open), fixing issue #46240	https://github.com/vllm-project/vllm/pull/56089	"When a request is aborted with both KV recv and send pending, the first completion frees the request and the second hits `assert req_id in self.requests`, taking down EngineCore."	The teardown ordering between abort and asynchronous KV transfer completion. The PR is open, so the fix is proposed rather than shipped: "This change tracks pending recv and send separately and frees blocks only after both complete. It covers recv -> send, send -> recv, and both in the same step."	READ BODY
S10	OPEN-6	NIXL telemetry throughput conflates overlapped transfers and double-counts across TP ranks, so the KV bandwidth bottleneck cannot be measured correctly	vLLM issue #33170 (reporter) — closed by the stale bot, never answered by a maintainer	https://github.com/vllm-project/vllm/issues/33170	"here vLLM calculates the throughput by the `sum of bytes transferred /sum the xfer time`, but if there are multiple transfers overlapped, we can not simply sum each xfer time as the total duration. In real case, the total duration should be shorter if multiple transfers can be in parallel."	A correct overlap-aware throughput definition, plus per-rank aggregation. A second reporter added: "it treats each rank as independent, so if total bytes_transferred is 1000MB and i have 8 ranks (tp=8), it treats each rank as 125MB and increase count by 8, instead of aggregating 1 transfer of 1000MB". Without this, the CLOSED-2 metric block cannot be used to size the transfer/compute overlap budget.	READ BODY
S11	OPEN-1	Does FP8 KV-cache give any real memory benefit on Mamba/GDN hybrid models?	`shivasathishs-rp`, RFC filed 2026-09-03, still open, label `quantization`	https://github.com/vllm-project/vllm/issues/55196	"`--kv-cache-dtype fp8` roughly doubles KV cache capacity on attention-only models (measured 2.00x), but on Mamba/GDN + attention hybrids it gives 1.84x at 32k context and 1.00x (no gain) at short context." … "Falcon-H1 by context length: 512 tok 1.00x, 1024 tok 1.00x, 2048 tok 1.51x, 8192 tok 1.76x, 32768 tok 1.84x. Sliding window alone does not cause this (gpt-oss gets a clean 2.00x); the effect requires a non-attention group co-resident in the pool." … "fp8 KV cache is advertised as a ~2x capacity/concurrency lever. On Mamba/attention hybrids (Falcon-H1, Qwen3-Next, Granite-4, Jamba, Nemotron-H) that lever is mostly or entirely dead, and there is no caveat in the docs."	the fix is identified but not implemented — quantizing the Mamba state (as SGLang does at int8) and/or per-group page-size decoupling; the RFC states "This RFC contributes the fp8-capacity characterization plus wiring a fix into vLLM."	READ BODY
S11	OPEN-2	vLLM v1 KV cache offloading — the canonical open RFC	`orozery` (author), `njhill`, `josephrocca`; open since 2025-06-19 and labelled `RFC`, `keep-open`	https://github.com/vllm-project/vllm/issues/19854	"Currently, in vLLM v1 there is no in-house solution for offloading KV cache data from the GPU memory to other medium (in particular, CPU memory)." The break-even problem is stated by a maintainer in-thread — `njhill`: "Cached CPU blocks would't necessarily have all preceding blocks also in the CPU cache, some prefix might only reside in the GPU cache. For a given cache tier, we may some length threshold below which it's not worth retrieving (and therefore possibly also not worth storing) since it would be faster to recompute." `orozery` concedes the design implication: "I understand this may not be the case, and CPU size could be roughly the same size as the GPU, or larger by a small factor. So you make up a good point."	an eviction-time (not compute-time) GPU→CPU save hook, and a decision on the GPU-block "next-in-line" notification — "since we want this to be async, this will require changes to vllm's core, allowing the connector to be notified on 'soon-to-be-evicted' GPU blocks." The thread ends without resolution.	READ BODY
S11	OPEN-3	SGLang HiCache load-back does not overlap the forward pass at all	`qidaye`, filed 2026-09-08, still open	https://github.com/sgl-project/sglang/issues/38470	"The consequence is that the layer-wise pipeline (`LayerDoneCounter` / `wait_until` in the attention layers) almost never overlaps anything: by the time `start_loading` returns and the batch is built and launched, every copy has already landed." … "So the scheduler thread stalls for the full enqueue duration, and the forward that should have hidden the H2D copies only starts once they are essentially complete." Measured table in the body: per-layer `load_to_device_per_layer` submission (CPU) `~2.4 ms`; `start_loading` per burst (78 layers x 2 pools) `~375 ms`; **"share of the H2D copy time that overlapped compute | 0.04 %"**.	the proposed fix (move the burst to a FIFO daemon thread behind `SGLANG_HICACHE_ASYNC_LOAD_ENQUEUE`, default off) is unimplemented, and the correctness work it requires is unsolved — "Waiting on a device event that has not been recorded yet is a no-op, so a consumer could sail past a layer the loader thread has not submitted."	READ BODY
S11	OPEN-4	SGLang HiCache prefill stalls behind the whole H2D burst	`qidaye`, filed 2026-09-08, still open	https://github.com/sgl-project/sglang/issues/38448	"The forward's first kernels depend on those tensors, so the whole forward on the compute stream waits until the copy engine has drained the entire burst, not just layer 0's load. Under TP the stalled rank then delays all its peers through the first all-reduce." Measured: "rounds whose first attention kernel starts only after the last burst copy | 27 / 80" and "launch-to-execution gap of the round's first small H2D copy, max | 373.8 ms".	an ordering fix so `prepare_for_extend` / `resolve_forward_inputs` / `ForwardBatch.init_new` copies are not queued behind the load burst.	READ BODY
S11	OPEN-5	SGLang HiCache prefetch finalization is coupled to FCFS position	`cfbdsirlijun-maker`, filed 2026-07-29, still open	https://github.com/sgl-project/sglang/issues/32724	"Besides inflating TTFT and the apparent prefetch latency, the un-finalized operations also keep host memory and `prefetch_tokens_occupied` budget pinned longer than necessary, which can throttle subsequent prefetches." And the measurement: "the storage IO itself took ~91 ms while the scheduler-side finalization lagged ~2.4 s behind IO completion. For the affected requests, this means TTFT can be extended by seconds even though the actual storage transfer already finished. In this case, >95% of the end-to-end prefetch latency was spent waiting for the FCFS scan, not on actual data transfer."	decoupling prefetch completion from the waiting-queue scan order.	READ BODY
S11	OPEN-6	vLLM prefix caching is silently inert on hybrid Mamba2 models	filed 2026-07-12, still open	https://github.com/vllm-project/vllm/issues/48401	The title is the claim — "[Bug]: Prefix caching silently inert on hybrid Mamba2 models when max_model_len < auto-selected block size".	a fix or at minimum an explicit failure instead of silent inertness.	TITLE ONLY (title retrieved from the GitHub search API result set; page body not read)
S11	OPEN-7	vLLM align-mode prefix caching never hits	filed 2026-08-19, still open, labels `bug`, `quantization`	https://github.com/vllm-project/vllm/issues/52897	The title is the claim — "[Bug]: Align-mode prefix caching never hits (0 / 996k queries) with --scheduling-policy priority on hybrid GDN model (post-#51113)".	a root cause and fix for a measured 0-hit rate where the feature is expected to work.	TITLE ONLY (search-API result set)
S11	OPEN-8	vLLM cannot report local vs external prefix-cache hits separately	filed 2026-08-13, still open, label `feature request`	https://github.com/vllm-project/vllm/issues/52137	The title is the claim — "[Feature]: split local/external prefix-cache hits in `prompt_tokens_details`".	observability that would let anyone separate offload-tier benefit from in-GPU prefix-cache benefit — which is precisely the measurement that the LMCache and Dynamo negative results below say is being mis-attributed.	TITLE ONLY (search-API result set)
S11	OPEN-9	vLLM has no support for prefix caching on pooling / encoder-only models	`HsukqiLee` (PR #55159, still open); `qsxustc` (PR #55160, closed unmerged)	https://github.com/vllm-project/vllm/pull/55159	Commit subject of the patch, verbatim: "fix: reject unsupported encoder-only prefix caching" with body "Fail fast when pooling encoder-only models explicitly enable prefix caching without support." The sibling PR #55160 was closed unmerged (retrieved `state=CLOSED`, `mergedTime=None`, `closedTime=2026-09-07T14:21:14Z`).	an actual implementation of prefix caching for these model classes; only the rejection path is proposed.	READ BODY (patch/commit message retrieved; PR page metadata retrieved)
S11	OPEN-10	llama.cpp disk-based KV checkpoint offloading still unproven	`strawberrymelonpanda` (CONTRIBUTOR) expressing doubt on an open feature request	https://github.com/ggml-org/llama.cpp/issues/20697	"Not casting doubt on the proposal overall, but I don't know about these numbers in any sort of real-world use." … "Nothing against more options, personally, I just wonder if the performance hit of hitting disk cache really pays off and would be curious to see."	any real-world measurement of the `--cache-disk` path.	READ BODY (retrieved by the delegated llama.cpp/TGI investigation)
S11	OPEN-11	vLLM-omni has no KV cache CPU offloading	`Vivo50E` (assignee), `hsliuustc0106`, `KuntaiDu` (vLLM & LMCache committer); RFC open since 2026-02-02	https://github.com/vllm-project/vllm-omni/issues/1150	`Vivo50E`: "I'm not an expert in LMCache or KV-cache optimization, but I'd love to hear your thoughts on this RFC. I'm currently working on an initial PR to implement the feature—any feedback or guidance would be greatly appreciated." `hsliuustc0106` points at the trial implementation: "please check #1330 for an initial trial from @Vivo50E".	a merged implementation; the RFC has been open for over seven months.	READ BODY
S11	OPEN-12	vLLM-omni prefix caching with hidden-state I/O — Plan A abandoned, RFC reopened	`alex-jw-brooks` (assignee), `tzhouam`, `hongzhi-gao`; RFC was closed `NOT_PLANNED` 2026-02-25 then **reopened** 2026-03-03	https://github.com/vllm-project/vllm-omni/issues/1184	`tzhouam` (2026-02-19): "This feature is currently on hold while we prioritize more important work, including the additional_information refactor. After discussing with @ZeldaHuang, we found out that Plan A won't work." Later status is still unresolved: `tzhouam` (2026-03-09) "currently its still under design."	a working design for hidden-state prefix caching; Plan A is explicitly dead, and only Phase-1 correctness tests have landed upstream ("First pass at hidden state prefix caching is up here: https://github.com/vllm-project/vllm-omni/pull/2164").	READ BODY
S11	OPEN-13	SGLang distributed KVCache system for agentic workloads	SGLang project roadmap, open since 2026-04-01, labels include `hicache`, `roadmap`, `PD Disaggregation`	https://github.com/sgl-project/sglang/issues/21846	The title is the artifact — "[Roadmap]: SGLang Distributed KVCache System For Agentic Workload".	the roadmap is unfulfilled; the same tracker's subsystem carries at least nine open correctness/overhead bugs retrieved in this sweep (e.g. #36179, #39147, #32693, #38428, #33656).	TITLE ONLY (search-API result set)
S11	OPEN-14	llama.cpp slot KV state restore is a no-op	reporter (issue #26676), open since 2026-08-06	https://github.com/ggml-org/llama.cpp/issues/26676	The title is the claim — "llama-server slot KV state restore is a no-op (restore reads file, slot stays empty, cache_n=0)".	the KV-checkpoint-to-disk feature simply does not restore anything; this is the closest llama.cpp analogue to KV offloading, and it is non-functional as filed.	TITLE ONLY (search-API result set)
S11	OPEN-15	llama.cpp prompt cache is reused across requests with different LoRA adapters	reporter (issue #26207), open since 2026-07-28	https://github.com/ggml-org/llama.cpp/issues/26207	The title is the claim — "server: prompt cache is reused across requests with different per-request `lora` — output silently contaminated by the previous adapter".	cache keying that accounts for the active adapter — a silent-correctness hole in the same reuse mechanism the KV-cache work depends on.	TITLE ONLY (search-API result set)
S11	OPEN-16	llama.cpp cache reuse changes computed logprobs	reporter (issue #28368), open since 2026-09-04	https://github.com/ggml-org/llama.cpp/issues/28368	The title is the claim — "cache_prompt reuse changes computed logprobs on a plain (non-hybrid) transformer — reproducible by toggling cache_prompt alone on an otherwise-identical warmed [run]".	bit-stability under KV reuse, on a plain transformer rather than a hybrid.	TITLE ONLY (search-API result set)
S11	OPEN-17	llama.cpp `/slots restore` yields no KV reuse on hybrid/recurrent and SWA models	reporter (issue #28194), open since 2026-09-01	https://github.com/ggml-org/llama.cpp/issues/28194	The title is the claim — "Misc. bug: /slots restore yields no KV reuse on hybrid/recurrent and SWA models (context checkpoints are not persisted)".	persistence of context checkpoints; note this is exactly the hybrid/SWA class where the target Qwen3-4B-adjacent architectures sit.	TITLE ONLY (search-API result set) ---
S12	OPEN-1	Prefill Context Parallel (PCP) coverage beyond FlashInfer/GQA — no timeline, community help requested	pisceskkk (RFC author), zhenwenqi2024, aarondou — vLLM issue #25749 `[RFC]: Support Prefill Context Parallel (PCP)` (OPEN, created 2025-09-26, 13 comments, last maintainer replies 2025-10-15)	https://github.com/vllm-project/vllm/issues/25749	"Adaptations for other backends are still in the planning stage. Due to time and resource constraints from other priorities, we cannot guarantee a timeline for these additional adaptations. We welcome support from the community for the adaptation of this feature."	PCP for backends other than FlashInfer (MLA and others), PCP for chunked-prefill, PCP for prefix caching, PCP for MTP, PCP for CUDA full graphs, and a Ring-CP style attention algorithm. All PCP/DCP paths are defined only for a multi-rank group; nothing in the RFC defines a single-GPU mode.	READ BODY
S12	OPEN-2	Prefill Context Parallel for Qwen3.5 hybrid attention (full-attention + GatedDeltaNet linear attention)	Yancey0623 — vLLM issue #37995 `[RFC]: Prefill Context Parallel for Qwen3.5 Hybrid Attention` (OPEN, created 2026-03-24; auto-marked stale 2026-06-27 but still open, not closed)	https://github.com/vllm-project/vllm/issues/37995	"Long-context prefill is a major bottleneck for LLM inference: 1. **Quadratic attention complexity**: Full attention is O(N^2) in sequence length, making 256K+ contexts extremely slow 2. **Memory bandwidth** : Large KV caches stress memory subsystem — Tensor Parallelism (TP) helps by distributing model weights, but each GPU still processes the full sequence. Context Parallel (CP) addresses this by distributing the sequence itself across GPUs." - The author's own admission that the linear-attention half is unfinished: "Linear attention layers maintain a recurrent state that depends on all previous tokens, so naively splitting the sequence would break correctness. This can be parallelized using sequence parallelism designed for linear attention e.g. [Linear Attention Sequence Parallelism](https://arxiv.org/abs/2404.02882) However, full attention is the bottleneck for long context, this RFC prioritizes context parallel for full attention layers. I haven't done a deep dive into linear attention parallelization yet, but it's definitely on the roadmap."	sequence parallelism for the GatedDeltaNet/linear-attention layers, and an implementation PR. The RFC is design-only: there is no merged code.	READ BODY
S12	OPEN-3	Decode Context Parallelism produces output drift / gibberish, and DCP is not in default CI	ehfd (reporter, 8× A100-SXM4-80GB single node), cjackal, Yancey0623 — vLLM issue #41623 `[Bug]: Decode Context Parallelism (--decode-context-parallel-size) output drift and gibberish in v0.21.0 and latest nightly` (OPEN — was closed and then reopened; issue metadata `state_reason: reopened`)	https://github.com/vllm-project/vllm/issues/41623 - Verbatim quote of the asking (maintainer-side diagnosis by cjackal): "The symptom described here sounds similar to what I have experienced with qwen3MoE before. Currently DCP is quite fragile, partly because DCP is not tested in CI by default. The only unit test for DCP is `tests/distributed/test_context_parallel.py`, which is run by two optional distributed test pipelines (not run by default for most PRs). And `test_context_parallel.py` does not cover most recent architectures like kimi-2.5, the two model checkpoints tested are dsv2 and qwen2.5 which are bf16-only and not representative of modern model architectures."		root cause; DCP coverage of modern architectures and attention backends in CI. The reporter's own suspect list names "[Kernel] Pack output and LSE in DCP A2A (#41160)" as a candidate.	READ BODY
S12	OPEN-4	GlmMoeDsa (GLM-5.3) + decode-context-parallel is broken on vLLM 0.28/0.29 — crashes, then silently returns random tokens	aaronelkins — vLLM issue #54300 `[Regression 0.27→0.28+]: GlmMoeDsa (GLM-5.3) + decode-context-parallel: crashes on 0.28.0, silently returns random tokens on 0.29.0` (OPEN, created 2026-08-29, 9 comments)	https://github.com/vllm-project/vllm/issues/54300	the issue title itself is the claim — "[Regression 0.27→0.28+]: GlmMoeDsa (GLM-5.3) + decode-context-parallel: crashes on 0.28.0, silently returns random tokens on 0.29.0". The reporter's environment block records the hardware: "GPU models and configuration : GPU 0: NVIDIA B200 / GPU 1: NVIDIA B200 / GPU 2: NVIDIA B200 / GPU 3: NVIDIA B200 / GPU 4: NVIDIA B200 / GPU 5: NVIDIA B200 / GPU 6: NVIDI…" (8× B200).	a fix. DCP + DSA (DeepSeek sparse attention) on Blackwell regressed across two releases and the silent-corruption mode is unresolved; no merged fix is linked in the thread.	READ BODY
S12	OPEN-5	FlashInfer MLA decode workspace buffer overflow under decode-context-parallel	vLLM issue #50781 `FlashInfer MLA decode workspace buffer overflow with decode-context-parallel` (OPEN, created 2026-08-02), with an accompanying open PR #50791 `[Bugfix][Attention] Size FlashInfer sparse MLA workspace for decode-context-parallel` (OPEN, created 2026-08-03)	https://github.com/vllm-project/vllm/issues/50781 and https://github.com/vllm-project/vllm/pull/50791	retrieved from the GitHub search API payload — issue title "FlashInfer MLA decode workspace buffer overflow with decode-context-parallel", state `open`, and PR title "[Bugfix][Attention] Size FlashInfer sparse MLA workspace for decode-context-parallel", state `open`, `merged_at: null`. (These two titles/states come from the search API JSON I retrieved; I did not open the individual pages, so the quoted text is limited to titles and state fields.)	a merged fix sizing the sparse-MLA workspace for DCP. The fix PR is open and unmerged.	TITLE ONLY (titles + `state`/`merged_at` fields from the retrieved GitHub search API JSON; individual pages not read)
S12	OPEN-6	Context-parallel prefill for DeepSeek-V4 hybrid KV + MegaMoE still unmerged	vLLM PR #43809 `[DeepSeekV4][PCP] Enable context-parallel prefill for hybrid KV and MegaMoE` (OPEN, created 2026-05-27, 7 comments)	https://github.com/vllm-project/vllm/pull/43809	retrieved from the GitHub search API payload — title "[DeepSeekV4][PCP] Enable context-parallel prefill for hybrid KV and MegaMoE", state `open`, `merged_at: null`. (Title and state only; the PR page itself was not opened.)	PCP support for hybrid-KV architectures and MegaMoE — i.e. the newest architectures still do not have working context-parallel prefill.	TITLE ONLY
