seg	id	title	who	url	closure	quote	date	evidence
S10	ABANDONED-4	NIXL connector silently disabling HMA — closed as duplicate, with a maintainer explaining why the proposed fix was insufficient	vLLM issue #42024 (reporter), maintainer response citing chfeng-cs	https://github.com/vllm-project/vllm/issues/42024	closed as not planned (`stateReason: NOT_PLANNED`) as a duplicate of the merged PR #41847	"This duplicates #41847 which addresses the same issue. Note that a class-level supports_hma() check is insufficient for MultiConnector — the wrapper class implements SupportsHMA but effective support depends on all configured children. #41847 handles this via KVConnectorFactory.supports_hma_config() which recurses into child connectors."	issue reports vLLM 0.18.x; closure trace dated 2026-08-08	READ BODY
S10	ABANDONED-5	NIXL telemetry throughput not accounting for transfer overlapping — stale-closed with no answer	vLLM issue #33170 (reporter), maintainer pinged (@NickLucche) and never replied	https://github.com/vllm-project/vllm/issues/33170	closed as not planned (`stateReason: NOT_PLANNED`), **closure text is automated stale-bot text only; no human closure reason exists on the page**	"This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant. Thank you!"	created 2026-01-27T18:07:23Z; stale-bot activity 2026-05-06 and 2026-06-05	READ BODY
S10	ABANDONED-6	P2P NCCL XpYd prefill worker crash — stale-closed with a fix still unlocated	vLLM issue #25043 (reporter), with a second reporter confirming on the same page	https://github.com/vllm-project/vllm/issues/25043	closed as not planned (`stateReason: NOT_PLANNED`), **closure text is automated stale-bot text only**	"This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant. Thank you!"	created 2025-09-17T06:18:05Z; stale-bot activity 2025-04-15-era thread continued through 2025-10-15	READ BODY
S10	ABANDONED-7	Heterogeneous-TP P/D in Dynamo's SGLang path — crashed on the recommended configuration, stale-closed	NVIDIA Dynamo issue #5870 (reporter on H200 SXM, Dynamo 0.8.0)	https://github.com/ai-dynamo/dynamo/issues/5870	closed as not planned (`stateReason: NOT_PLANNED`), **closure text is automated inactivity text only**	"This issue has been closed due to inactivity. If you believe this issue is still relevant, please feel free to reopen it with additional context or information."	created 2026-02-01T23:38:19Z; stale warning 2026-03-04, inactive closure 2026-03-09	READ BODY
S10	ABANDONED-8	"Can we avoid recomputing the last-token hidden states?" — answered as not-worth-the-complexity, not built	vLLM maintainer NickLucche, replying to RFC #31064 (author xinyu-intel)	https://github.com/vllm-project/vllm/issues/31064	closed as completed, but the requested generalization was declined in-thread and the shipped artifact is a different, narrower one (`ExampleHiddenStatesConnector`, a debug disk-backed connector for `extract_hidden_states` spec decoding)	"I have an aversion to adding this complexity in order to avoid running a single forward pass for 1 token --- so just want to make sure I understand why the current impl is not working well"	created 2025-12-20T05:56:32Z; closed 2025-12-20 (same day)	READ BODY
S11	ABANDONED-1	Prefix-cache-affinity request reordering in the vLLM V1 scheduler	`kliukovkin` (vLLM contributor), RFC #42185 / CacheAffinityScheduler	https://github.com/vllm-project/vllm/issues/42185	closed as not planned (author-closed, 2026-08-18)	"**Decision:** Dropping PR — RAG improvement below threshold, no measurable benefit on correct async baseline." … "RAG mean delta: **+0.2%** (noise). Decision threshold: ≥+5%." … "### Why the original +7.4% RAG result was wrong — `CacheAffinityScheduler` initially extended synchronous `Scheduler` instead of `AsyncScheduler`. The stock scheduler in vLLM V1 (`get_scheduler_cls()`) returns `AsyncScheduler` when no `--scheduler-cls` is specified. The async scheduler overlaps scheduling with GPU execution via a batch queue (depth 2), yielding ~10–15% higher throughput than the sync path. The v2 benchmark compared a sync CA scheduler against a sync stock scheduler (both degraded equally), so the +7.4% RAG number appeared real but was actually measuring something else"	created 2026-05-09, closed 2026-08-18	READ BODY
S11	ABANDONED-2	Dynamo KVBM disk→device onboarding (and KVBM itself)	`jthomson04` (Dynamo maintainer), `sachalmalick`, `pjdurden`, `bennorris123`	https://github.com/ai-dynamo/dynamo/issues/12750	closed as not planned, by a human maintainer	"Closing as not planned because KVBM is no longer supported. This is a scope/support decision, not confirmation that the reported disk-onboarding performance problem is fixed; the corresponding PR #13184 will be closed without merging."	created 2026-08-06, closed 2026-09-10	READ BODY
S11	ABANDONED-3	Dynamo KVBM lifecycle bug — second independent confirmation of KVBM removal	`jthomson04` (CONTRIBUTOR)	https://github.com/ai-dynamo/dynamo/issues/13285	closed as not planned, by a human maintainer	"Closing as not planned because KVBM is no longer supported. This is a scope/support decision, not confirmation that the reported lifecycle bug is fixed; the corresponding PR #13297 will be closed without merging."	maintained comment 2026-09-10	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-4	Dynamo KVBM — exposing GPU HBM hit rates for the KV cache	`dagil-nvidia` (NVIDIA/Dynamo maintainer)	https://github.com/ai-dynamo/dynamo/issues/5716	closed as not planned, by a human maintainer (explicit apology + rationale)	"The Dynamo project has been moving fast and unfortunately this one slipped through the cracks. We don't currently have someone actively working on it, and to be honest with you we'd rather close out than leave you hanging indefinitely."	created 2026-01-28, closed 2026-05-26	READ BODY
S11	ABANDONED-5	Dynamo KVBM docs — "feature is being sunset"	Ben Hamm (Dynamo), commit author	https://github.com/ai-dynamo/dynamo/commit/62d0cf34a53cbef0d067f8a9d59d2031a2d30935	documentation removal merged; KVBM deprecation announced	Commit subject: "docs(recipes): drop KVBM references — feature is being sunset". Commit body: "Remove the agg-kvbm walkthrough pointer from the Qwen3-32B recipe and mark the catalog gap note accordingly. No docs re-add planned; source assets under recipes/qwen3-32b/vllm/agg-kvbm/ are untouched pending KVBM deprecation." The edited catalog entry reads, verbatim: "'agg-kvbm single-GPU walkthrough removed from the recipe entirely (2026-06-12): KVBM is being sunset, so no docs re-add is planned. Source assets at recipes/qwen3-32b/vllm/agg-kvbm/ remain untouched pending KVBM deprecation.'"	2026-06-12	READ BODY
S11	ABANDONED-6	Dynamo KVBM V2 transfer — merged revert	`jthomson04` (Dynamo)	https://github.com/ai-dynamo/dynamo/pull/5406	**merged revert** (PR page reports `state=MERGED`, `mergedTime=2026-01-13T22:18:07Z`)	Commit subject: "Revert \"feat: KVBM V2 transfer (#4068)\"" — commit body: "This reverts commit 827b8c3e511295a53351b44b6af596c85f189454." The diff removes `BlockTransferHandlerV2` from the public API surface: `-pub use transfer::{BlockTransferHandler, BlockTransferHandlerV1, BlockTransferHandlerV2};` `+pub use transfer::BlockTransferHandler;`	created 2026-01-13, merged 2026-01-13	READ BODY
S11	ABANDONED-7	Dynamo KVBM FullyContiguous device-layout fix abandoned at PR stage	`jthomson04` (Dynamo), closing `pjdurden`'s work	https://github.com/ai-dynamo/dynamo/pull/13184	closed unmerged by a human maintainer (`state=CLOSED`, `mergedTime=None`, `closedTime=2026-09-10T03:22:13Z`)	(cross-referenced from #12750, same maintainer and same date) "the corresponding PR #13184 will be closed without merging."	created 2026-08-13, closed 2026-09-10	READ BODY (PR metadata retrieved; reason quote retrieved from the linked issue #12750)
S11	ABANDONED-8	Dynamo host-tier KV mirroring, offload and storage APIs	`hutm` (CONTRIBUTOR), GMS umbrella #10450 and children	https://github.com/ai-dynamo/dynamo/issues/10455 (also #10456, #10457)	closed as not planned / superseded-deferred, by a human contributor	"Closing this ticket as superseded/deferred, not completed."	closed 2026-07-13	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-9	Dynamo GMS-managed KV — umbrella retired, 18 PRs closed	`hutm` (CONTRIBUTOR)	https://github.com/ai-dynamo/dynamo/issues/10450	closed as not planned	"The SGLang, TensorRT-LLM, host/storage, router/P2P, TP=2, Kubernetes, and optimization scopes from this umbrella are not being carried into the MVP. The linked child tickets are being closed as superseded/deferred, not as completed." … "All 18 PRs that were still open from this umbrella have been closed without deleting their branches."	closed 2026-07-13	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-10	Dynamo KVBM silently provided no benefit unless an undocumented flag was set	reporter (issue #7566); closed by the **stale bot**	https://github.com/ai-dynamo/dynamo/issues/7566	closed as not planned — **AUTOMATED STALE-BOT CLOSURE, not a maintainer decision**; the negative result is in the issue body, not the closure	"All KVBM integration tests use --num-gpu-blocks-override (defaulting to 10 blocks in tests/kvbm_integration/common.py:530), which masks this issue. The KVBM guide ... does not mention --num-gpu-blocks-override as a requirement or recommendation, so **users following the documentation will silently get no KVBM benefit**."	stale-bot closed 2026-04-30	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-12	Dynamo KVBM disk reads issued as many small IOs	`ekaynar` (reporter); closed by `linear[bot]`, not a human	https://github.com/ai-dynamo/dynamo/issues/6101	`state_reason=COMPLETED` but closed by an **automation (`linear[bot]`)**; the last human comment is a user asking "Did you resolve this? Thanks" (2026-08-05) which went unanswered	"when KVBM reads a full block from G3 (disk) -> G1 (HBM), NIXL issues many small 32 KB IOs instead of a single contiguous 2 MB transfer."	closed 2026-04-22	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-13	Dynamo KVBM TTFT degradation with MTP	reporter (issue #6353); closed by the **stale bot**	https://github.com/ai-dynamo/dynamo/issues/6353	closed as not planned — **AUTOMATED STALE-BOT CLOSURE**	"median TTFT increases significantly"	stale-bot closed 2026-04-23	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-14	Dynamo KVBM 0.7.0 regression — TTFT 1.27 s → 8.23 s	reporter (issue #4774)	https://github.com/ai-dynamo/dynamo/issues/4774	reported regression, worked around by the reporter	"In 0.6.1 I was getting a TTFT of 1.27 seconds. Now I'm seeing a TTFT of 8.23 seconds." … "I tried --distributed-executor-backend=mp and I saw no improvement"	reported 2025-12-17	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-15	Dynamo KVBM was already retired from the simulation path	Dynamo (issue #13794)	https://github.com/ai-dynamo/dynamo/issues/13794	retired path confirmed by maintainer-side statement	"That KVBM-based offload simulation was not carried into the standalone AISimulate core, and the old KVBM sweep fields have been removed. New G1↔G2 simulation should model each framework's native behavior directly rather than reproduce the retired KVBM path."	2026	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-16	Dynamo KVBM documentation claimed tiers and knobs that do not exist	Dynamo maintainers (open PRs #14012, #14011), and a counter-PR #13867	https://github.com/ai-dynamo/dynamo/pull/14012	correction PRs open; the advertised capabilities were never implemented	PR #14012 title "docs(kvbm): drop the object-storage tier that has no implementation", body: "Nothing in the runtime reads any of them." PR #14011 title "fix(kvbm): remove the transfer batch size knob that nothing reads", body: "Nothing reads it."	2026 (open at time of retrieval)	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-17	LMCache CPU offload measured as pure overhead next to vLLM's own prefix cache	`KuntaiDu` (vLLM & LMCache committer), `sammshen` (LMCache contributor)	https://github.com/LMCache/LMCache/issues/1109	closed `COMPLETED` — materially, this is a explained-away negative result, not a fix	`KuntaiDu` (2025-07-21T17:32:30Z): "Currently CPU memory size needs to be larger than GPU KV cache size in order for LMCache to show perf improvement." `sammshen` (2025-07-21T23:34:50Z): "The key thing to notice is the logs that shows that we are only loading 3 tokens from lmcache because vllm prefix caching is receiving cache hit" … "This means we are only measuring lmcache overhead and no benefits." … "lmcache will not excel here because vllm has a ton of space for prefix caching."	created 2025-07-21, closed 2025-07-29	READ BODY (independently re-verified by the present author against the retrieved page)
S11	ABANDONED-18	LMCache's reported 25× speedup is attributable to vLLM, not to LMCache offload	reporter; `FeiGSSS` (LMCache maintainer) responding	https://github.com/LMCache/LMCache/issues/2334	`NOT_PLANNED` 2026-04-06 — **AUTOMATED STALE-BOT CLOSURE.** The negative result is in the body and the maintainer reply.	Body: "Performance comparison between vLLM standalone and vLLM with LMCache CPU Offload shows minimal difference in measured TTFT improvements, despite the same 25x speedup being reported for both configurations." … "The 25x improvement seen in both cases appears to be coming from vLLM's internal KV cache mechanism rather than LMCache's CPU offload". `FeiGSSS`: "vLLM has its own CPU KVCache offload, which is slightly slower than LMCache (as reported in the paper). I think your results is expectable."	created 2025-12-31, closed 2026-04-06	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-19	LMCache CacheBlend — non-prefix reuse decays back to the cold baseline	`shawnguyen-tensormesh` (author and closer)	https://github.com/LMCache/LMCache/issues/4663	closed as not planned by a human, 2026-08-21, with only the terse comment "Closing here"	"Once L1 saturates, LRU evicts the **warm document chunks** (the only thing the matcher can actually reuse), so the speedup **decays from a post-warm burst down to the cold baseline within a few dozen queries.** Nothing is functionally wrong; the store/lookup **asymmetry** is the defect. Production impact: any benchmark that re-warms before each measurement reports the burst (e.g. 4–6×) and completely misses that steady-state throughput under real sustained novel traffic falls back to ~1×." Also: "**Verdict:** **CONFIRMED** - reproduced live and grounded in source." and "Sustained uniform-novel: decays to **~1.0–1.1×** (cold floor) within ~1–3 batches (~30–90 queries)."	created 2026-08-20, closed 2026-08-21	READ BODY (independently re-verified by the present author; all four quoted fragments byte-checked against the retrieved page)
S11	ABANDONED-20	LMCache CacheBlend — no per-model correctness gate for the blend re-RoPE approximation	`shawnguyen-tensormesh`	https://github.com/LMCache/LMCache/issues/4666	closed as not planned by a human, 2026-08-21 ("Closing here")	"There is **no output-level, per-model acceptance test**" … "correctness depends on ... **no automated check that the blended output actually matches a full-recompute reference** before it is served."	created/closed 2026-08-20/2026-08-21	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-21	LMCache CacheBlend — blend store cannot be disabled and has no size cap	`shawnguyen-tensormesh`	https://github.com/LMCache/LMCache/issues/4665 (and #4664)	closed as not planned by a human, 2026-08-21 ("Closing here")	"That gate was **not carried over**" (MP connector built as a parallel implementation ignoring `kv_role=kv_consumer` / `skip_save`). Companion #4664: "Unbounded blend store fills the L2 disk and evicts the serving pods via node DiskPressure - no size cap".	created/closed 2026-08-20/2026-08-21	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-22	LMCache + Mooncake on a single node gave no benefit	reporter; `xiaguan` (CONTRIBUTOR) responding	https://github.com/LMCache/LMCache/issues/1331	closed as not planned — **AUTOMATED STALE-BOT CLOSURE.** Bot text, verbatim: "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant!" The substantive negative result is the reporter's and the maintainer's.	"I tried both methods and found no benefit. What could be the reason?" … "Experiment 2 found that the RDMA transmission protocol was slightly better than TCP, but not as good as Baseline." `xiaguan`: "If you're only using a single node, why not just use the local CPU backend?"	created 2025-08-13, bot-closed 2025-11-14	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-23	LMCache merged revert of its MP adapter shim	LMCache	https://github.com/LMCache/LMCache/pull/3111	merged revert, 2026-04-23	"This reverts only the adapter shim (restores the pre-#3100 signature requiring parallel_strategy)."	2026-04-23	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-24	LMCache token-dropping API PR abandoned	`rannnayy` (self-closed)	https://github.com/LMCache/LMCache/pull/3755	closed unmerged, self-closed by the author, no stated reason (empty PR template)	none available — the PR body is the unmodified template. Recorded here only because the closure act and author are retrieved; **no justification quote exists, so no reason is asserted.**	self-closed 2026-06-23	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-25	LMCache token-dropping / compression accuracy is within noise	LMCache (PR #4500 body)	https://github.com/LMCache/LMCache/pull/4500	merged, but the documented measurement undercuts the accuracy claim	"Accuracy on this workload carries ~1–2/30 run-to-run noise from decode non-determinism"	2026	READ BODY (retrieved by the delegated LMCache/Dynamo investigation)
S11	ABANDONED-26	Selective KV cache offload in vLLM	`ruocco` (author, llm-d/vLLM); `effi-ofer`, `michalmalka`	https://github.com/vllm-project/vllm/issues/39305	closed as not planned — **AUTOMATED STALE-BOT CLOSURE**, with a substantive maintainer-side redirect earlier in the thread. Bot text, verbatim: "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant."	`effi-ofer` (2026-04-12): "Once [multi-tier](https://github.com/vllm-project/vllm/issues/38260) is available, this can be used to offload the entire prompt but send a portion to slower storage (fs or object storage)." The author's own framing of the motivation is a negative observation about reuse: "Public traces like Mooncake or Alibaba [show](https://dl.acm.org/doi/pdf/10.1145/3773772) that 40-60% of the KV Cache is stored but never reused."	created 2026-04-08, bot-closed 2026-08-12	READ BODY
S11	ABANDONED-27	Topology-aware KV cache compression proposal	`jianxinglee62-prog` (author); `jagmarques` (commenter)	https://github.com/vllm-project/vllm/issues/38725	closed as not planned — **AUTOMATED STALE-BOT CLOSURE.** Bot text, verbatim: "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant."	The only substantive technical reason on the page is a commenter's, not a maintainer's — `jagmarques`: "DeepSeek-V3's MLA compresses KV at the architecture level by using a shared latent vector. The residual KV cache is already smaller, so external compression may have diminishing returns. Worth benchmarking whether the gain is meaningful post-MLA vs. standard MHA models."	created 2026-04-01, bot-closed 2026-08-06	READ BODY
S11	ABANDONED-28	Phase-aware KV cache quantization for reasoning models	`myProjectsRavi` (author)	https://github.com/vllm-project/vllm/issues/39416	closed as not planned — **AUTOMATED STALE-BOT CLOSURE, no human comment on the page.** Bot text, verbatim: "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant."	No maintainer reason exists. The author's own claim is a measured negative result about *uniform* quantization: "I have published a paper with a closed-form theorem and empirical validation showing this approach cuts attention KL divergence by **58%** compared to uniform 3-bit quantization on DeepSeek-R1-Distill-1.5B, with no additional inference-time compute."	created 2026-04-09, bot-closed 2026-08-10	READ BODY
S11	ABANDONED-29	vLLM KV cache compaction (token dropping) RFC	`YaoJiayi` (author); `simon-mo`, `KuntaiDu` (maintainers)	https://github.com/vllm-project/vllm/issues/10646	closed as not planned — **AUTOMATED STALE-BOT CLOSURE.** Bot text, verbatim: "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant."	`simon-mo` (2024-11-26): "On the research side, @lynnliu030 is experimenting with token drop's impact on memory allocation. I think we can revisit this around EOY and discuss the exact API change." The blocker, per the author: "The key challenge for supporting more methods is the memory management side. For both attention sink and H2O, they maintain the same number of tokens across different heads and layers. If we want to support more advanced methods, we need a more flexible memory layout." It was never revisited; the referenced prototype lives out-of-tree.	created 2024-11-25, bot-closed 2025-03-27	READ BODY
S11	ABANDONED-30	KV-cache rollback / "step back" API in the vLLM engine core	`robertgshaw2-redhat` (Red Hat, vLLM maintainer); proposer `alexbuiko-sketch`	https://github.com/vllm-project/vllm/issues/34698	closed as not planned — **AUTOMATED STALE-BOT CLOSURE** after a maintainer rejection in-thread. Bot text, verbatim: "This issue has been automatically closed due to inactivity. Please feel free to reopen if you feel it is still relevant." - STATED REASON, VERBATIM (maintainer, 2026-02-17 — reproduced exactly as written on the page, including its apparent typo, which is in the original): "I think that adding an interface in the engine core to mutate existing sequences with a \"step back\" function is going to be accepted as it creates significant complexity into the core engine. However, I feel confident this feature could be implemented by leveraging vllm's prefix caching functionality. This is for instance how beam search is implemented internally". The same maintainer had already pushed the workaround: "Couldnt your sidecar act as a proxy and simply abort currently running request (disconnecting) and retry from the last known good token? vLLM's prefix-caching will automatically skip re-computing the prompt and rollback will happen".	I think that adding an interface in the engine core to mutate existing sequences with a "step back" function is going to be accepted as it creates significant complexity into the core engine. However, I feel confident this feature could be implemented by leveraging vllm's prefix caching functionality. This is for example how beam search is implemented internally	created 2026-02-17, bot-closed 2026-09-06	READ BODY
S11	ABANDONED-31	vLLM FP8 KV-cache — the measured failure modes before the fixes	vLLM (AWS + Red Hat AI authors of the blog)	https://vllm.ai/blog/2026-04-22-fp8-kvcache	published negative result, partially remediated; residual limits explicitly documented as "When to Avoid FP8 KV-Cache"	"On Hopper GPUs, the FP8 Flash Attention 3 kernel suffered from accumulation precision loss at long contexts. On a 128k needle-in-a-haystack task, FP8 accuracy dropped from 91% (BF16 baseline) to just 13% — a regression traced to imprecise FP32 accumulation in the Tensor Cores". "The FP8 ITL slope for models with sliding-window attention layers (e.g., gpt-oss-20b) was nearly identical to BF16 (96% of BF16 slope), meaning users gained almost no decoding speedup despite halving memory. The break-even point exceeded 700k tokens — well beyond most practical context lengths." Residual: "for head dimensions larger than 128, the prefill performance remains behind BF16." And the explicit avoidance list: "FP8 KV-cache quantization is not always the right choice. Consider staying with BF16 if: Your contexts are short (< ~7k tokens): FP8 has a small constant overhead (the intercept gap), so at short contexts BF16 may be slightly faster for ITL. Your model uses head_dim = 256 and prefill latency matters: The two-level accumulation overhead increases TTFT by ~1.6x at long contexts." Quantified in their Table 3: `gpt-oss-20b before (v0.10.2) FP8 741,565 96%` break-even tokens and slope.	published 2026-04-22	READ BODY
S11	ABANDONED-32	llama.cpp DeepSeek-V4 prefix caching reprocesses the full prompt	`am17an` (CONTRIBUTOR); reporter `jaholmesuk`	https://github.com/ggml-org/llama.cpp/issues/25567	closed `not_planned` 2026-07-13, two days after the last comment — **not** a stale-bot closure (no stale label), but no explicit "won't fix" sentence was retrieved	`am17an`: "The frozen anchor problem will still be there though. DSV4 can't do a partial seq_rm so it will restore to the nearest checkpoint instead and has to re-prefill everything after that. That's your +278 per request." Reporter's measurement: "So it reprocesses the full prompt on every request; no prefix reuse engaged over 20 passes up to ~7.7k tokens."	closed 2026-07-13	READ BODY (retrieved by the delegated llama.cpp/TGI investigation)
