seg	id	title	hw	url	evidence	note
S11	HW-1	DP8 vs TP8 KV-capacity study for single-KV-head MLA	one 8× NVIDIA B200 node; the KV-capacity result is only defined under 8-way parallelism	https://github.com/vllm-project/vllm/issues/51454	"On a single 8x NVIDIA B200 node, `vllm/vllm-openai:v0.25.0` serves `deepseek-ai/DeepSeek-V4-Flash-0731` (304B total / 13B active, MLA, 1M context, FP4 experts + FP8 KV) with measured multi-session 1M-context concurrency that has not been published before for this model class." And the mechanism that makes it 8-GPU-only: "because MLA's single KV head cannot be sharded across tensor-parallel ranks, so TP8 replicates the KV cache 8x; under DP8 (with `--enable-expert-parallel`) each GPU holds an independent KV pool for the data-parallel attention path". Also: "The original 1M headline comparison crossed two nodes (TP8 measured on node 1, DP8 on node 2)."	
S11	HW-2	SGLang HiCache load-back overlap measurement	8× H100, TP=8	https://github.com/sgl-project/sglang/issues/38470	"Profiling a prefill-only H100 TP=8 deployment with hierarchical cache and `io_backend=direct` showed:" and the table entry "`start_loading` per burst (78 layers x 2 pools) | ~375 ms".	
S11	HW-3	SGLang HiCache prefill stall behind the H2D burst	8× H100, TP=8, multi-GiB bursts	https://github.com/sgl-project/sglang/issues/38448	"On an 8 x H100 TP=8 deployment with hierarchical cache and multi-GiB load bursts, an nsys trace of ~80 prefill rounds showed:" and "Under TP the stalled rank then delays all its peers through the first all-reduce."	
S11	HW-4	SGLang HiCache prefetch finalization lag	4P1D disaggregated (prefill/decode-disaggregated, multi-instance) deployment with Mooncake storage backend	https://github.com/sgl-project/sglang/issues/32724	"In our measurements (4P1D disaggregated deployment, Mooncake storage backend, high concurrency), the storage IO itself took ~91 ms while the scheduler-side finalization lagged ~2.4 s behind IO completion."	
S11	HW-5	Dynamo KVBM disk→device descriptor fragmentation	tensor-parallel 8 for the target model; the fix's benefit statement is expressed for a 48-layer TP8 layout	https://github.com/ai-dynamo/dynamo/issues/12750	"| | Maverick, TP8 | Llama-3.1-8B, TP1 |" and "Our target is Llama-4-Maverick, which is mixed-attention, so it can't reach the cross-layer path at all." The maintainer's fix description is TP-scale-specific: "on the 48 layer model that should go from num_layers*outer_dim descriptors per block to one per block."	
S11	HW-6	Tensor-parallelism vs KV-compression trade-off study	not retrieved; title explicitly frames a multi-GPU versus compression trade-off	https://arxiv.org/abs/2608.23962	**none retrieved.** Listed as a lead only — the title "More GPUs or a Smaller Cache? Tensor Parallelism versus KV Compression for Memory-Bound LLM Serving" was seen in a search-result list and the abstract page was **not** fetched. Do not treat the hardware claim as evidenced.	
S11	HW-7	LMCache multi-node tensor parallelism	multi-node TP (the issue asks for cross-node weight/KV placement)	https://github.com/LMCache/LMCache/issues/3266	**none retrieved.** The item was seen only in a search-result list; the multi-node `lmcache server` capability was described as still an unmerged proposal (PR #3248). Do not treat as evidenced.	
S12	HW-1	vLLM Decode Context Parallel (DCP) for GQA/MQA — hard-coded rejection unless TP exceeds the model's KV-head count	**More than one GPU, and specifically `--tensor-parallel-size` strictly greater than the model's total number of KV heads.** For a GQA model with 8 KV heads (the Qwen3 family shape) this means TP ≥ 9, i.e. **at least 9 GPUs**; the DCP size must additionally divide TP, so in practice 16 GPUs.	`vllm/config/model.py` lines 1445–1465 in the retrieved vLLM main tree (`/tmp/kvsrc/vllm-main/vllm/config/model.py`); live equivalent at https://github.com/vllm-project/vllm/blob/main/vllm/config/model.py	"Decode context parallelism for GQA/MQA requires `--tensor-parallel-size` ({tensor_parallel_size}) to be greater than the model's total number of KV heads ({total_num_kv_heads}). Increase `--tensor-parallel-size` or set `--decode-context-parallel-size 1`."	
S12	HW-2	vLLM DCP — structurally a re-partition of an existing TP group, so it cannot exist on one GPU	**More than one GPU** (DCP never adds ranks; it subdivides the TP group, therefore `tp_size > 1` is a precondition).	https://github.com/vllm-project/vllm/pull/23734 and `/tmp/kvsrc/vllm-main/docs/serving/context_parallel_deployment.md`	"tp_size needs to be divisible by dcp_size, because the world size does not change by dcp, it simply reuse the GPUs of TP group, and split one TP group into tp_size//dcp_size DCP groups." (PR #23734 body)	
S12	HW-3	vLLM Prefill Context Parallel (PCP) — requires ≥2 ranks even at TP=1	**More than one GPU.** `--prefill-context-parallel-size N` with N>1 creates N ranks even when `--tensor-parallel-size 1`; the merged feature's own Test Plan uses `--tensor-parallel-size 1 --prefill-context-parallel-size 2`.	https://github.com/vllm-project/vllm/pull/28988 (Test Plan) and https://github.com/vllm-project/vllm/pull/28718 (merged basic support)	"Test Plan vllm serve deepseek-ai/DeepSeek-V2-Lite-Chat --gpu-memory-utilization 0.9 --tensor-parallel-size 1 --prefill-context-parallel-size 2" - Parallel-config validation, `/tmp/kvsrc/vllm-main/vllm/config/parallel.py` line 561: "elif dcp not in (1, pcp, tp * pcp): raise ValueError(" then "When PCP is enabled, DCP must be disabled, span the PCP axis, or span the full TP x PCP axis. Got TP={tp}, PCP={pcp}, DCP={dcp}; valid DCP sizes are {sorted({1, pcp, tp * pcp})}." - The feature's own benchmark labels in PR #28988 are rank counts: "PCP1TP8 (Baseline)", "PCP2TP4", "PCP4TP2", "PCP8TP1" — every configuration totals 8 GPUs.	
S12	HW-4	vLLM context parallelism — its own test is defined as a 4-GPU / 2-node test	**4 GPUs, single-node, or 2 nodes × 2 GPUs.**	`/tmp/kvsrc/vllm-main/tests/distributed/test_context_parallel.py` lines 3–9; live at https://github.com/vllm-project/vllm/blob/main/tests/distributed/test_context_parallel.py	"WARNING: This test runs in both single-node (4 GPUs) and multi-node (2 node with 2 GPUs each) modes. If the test only uses 2 GPUs, it is important to set the distributed backend to \"mp\" to avoid Ray scheduling all workers in a node other than the head node, which can cause the test to fail."	
S12	HW-5	SGLang DCP — the lowest-latency backend has a hard MNNVL/Blackwell gate	**Blackwell GPUs, with the whole DCP group inside one MNNVL domain — i.e. GB200/GB300 fabric, or a single multi-GPU node.** The DCP group must additionally be contained in one attention-TP group and one attention-DP replica.	https://docs.sglang.ai/advanced_features/dcp.html	"fi_a2a, replicated Q | One FlashInfer MNNVL A2A | Requires Blackwell and a DCP group inside one MNNVL domain (GB200/GB300 fabric, or a single node)"	
S12	HW-6	SGLang prefill context parallelism + LayerSplit — 8-way CP on a multi-GPU node	**8 ranks minimum (`--attn-cp-size 8`); for the LayerSplit composition, also PD disaggregation with the Mooncake transfer backend.**	`/tmp/kvsrc/sglang-main/docs/cookbook/autoregressive/GLM/GLM-5.3.mdx` lines 255–264 and `/tmp/kvsrc/sglang-main/docs/cookbook/autoregressive/DeepSeek/DeepSeek-V3_2.mdx` lines 435–451; live equivalent at https://docs.sglang.ai/	"which splits the sequence equally across `--attn-cp-size` ranks during attention forward."	
S12	HW-7	SGLang DCP validated only on 4× GB300 (TP4/EP4)	**4× GB300 (Blackwell Ultra) GPUs at TP4/EP4, inside a single node.**	`/tmp/kvsrc/sglang-main/docs/cookbook/autoregressive/GLM/GLM-5.3-Flash.mdx` line 125; live at https://docs.sglang.ai/	"Decode context parallelism (DCP) shards the KV across GPUs during decode to cut long-context latency. The **Context Parallelism** row offers DCP4, validated on 4x GB300 (TP4/EP4) with both KV pairings and adaptive MTP 5/1/6; it requires the current release image, which carries the TileLang LSE fix. Other platforms and attention backends are unvalidated, and draft-extend v2 is unsupported under DCP."	
S12	HW-8	Helix Parallelism — evaluated on GB200 NVL72, via simulator with inter-GPU NVLink, on 405B/671B models	**GB200 NVL72-class hardware with inter-GPU NVLink; models of 405B and 671B parameters; KV histories of ≥1M tokens.** The evaluation is a simulator of GB200, not a single-GPU run.	https://arxiv.org/abs/2507.07120 (HTML: https://arxiv.org/html/2507.07120v1), §3.1 Experimental setup	"To evaluate the performance of different sharding strategies independent of potential feature gaps in a given software framework, we opt to leverage an in-house high-fidelity simulator modeling the latest GB200 hardware. The simulator accounts for both compute and communication costs, including latency from inter-GPU NVLink transfers, DRAM bandwidth constraints, and FLOP throughput. All performance numbers are normalized to that of the baseline to focus on the trends as opposed to specific performance claims."	
S12	HW-9	Mooncake — a multi-node cluster of 8× A800-80GB nodes with intra-node NVLink and inter-node RDMA	**A compute-node cluster; each node = 8 NVIDIA A800-SXM4-80GB GPUs connected by NVLink, plus RDMA NICs at up to 800 Gbps between nodes; each node runs either a prefill instance or a decoding instance.**	https://arxiv.org/abs/2407.00079 (HTML v3: https://arxiv.org/html/2407.00079v3), Testbed	"During the experiments, the system was deployed on a high-performance computing node cluster to test performance. Each node in the cluster is configured as follows: 8 NVIDIA-A800-SXM4-80GB GPUs, each with 80GB HBM, connected by NVLINK; equipped with RDMA network cards that supporting up to 800 Gbps of interconnect bandwidth between nodes. Each node deploys either a prefill instance or a decoding instance according to the startup parameter."	
S12	HW-10	DistServe — 4 nodes × 8 A100-80GB with NVLink, 25 Gbps cross-node	**4 nodes and 32 GPUs; each node 8× NVIDIA SXM A100-80GB connected with NVLink; requires at least 2 GPUs for the minimum prefill/decode split.**	https://arxiv.org/abs/2401.09670 (HTML v3: https://arxiv.org/html/2401.09670v3), §6.1 Experiments Setup	"Cluster testbed. We deploy DistServe on a cluster with 4 nodes and 32 GPUs. Each node has 8 NVIDIA SXM A100-80GB GPUs connected with NVLINK. The cross-node bandwidth is 25Gbps. Due to the limited cross-node bandwidth, we use the low node-affinity placement algorithm (§ 2 ) for DistServe in most of the experiments except for the ablation study (§ 6.4 ) which uses simulation."	
S12	HW-11	Splitwise — two DGX-A100 + two DGX-H100 VMs on Azure, connected with InfiniBand	**At least two separate machines (prompt-computation machine + token-generation machine) connected by InfiniBand; characterization runs used 8× H100 per machine.**	https://arxiv.org/abs/2311.18677 (HTML v2: https://arxiv.org/html/2311.18677v2), §V-A Experimental setup	"To evaluate our proposal on real hardware, we implement Splitwise's KV-cache transfer mechanism on top of vLLM [51]. Our implementation is open source [1]. We run this modified vLLM on two DGX-A100 and two DGX-H10 virtual machines (VMs) on Microsoft Azure with specifications from Table I. These are the VMs used to collect the characterization data in Section III. These machines are connected with InfiniBand and the DGX-H100s have double the bandwidth (i.e., 400 Gbps)."	
S12	HW-12	Star Attention — 8 to 32 A100 GPUs across multiple hosts	**8–32 A100 GPUs spread over multiple hosts; 4–16 parallel workers.** 1M-token sequences needed 32 GPUs; the 70B model at 128K needed 32 GPUs.	https://arxiv.org/abs/2411.17116 (HTML v1: https://arxiv.org/html/2411.17116v1), §C.2 "Hardware for Inference Speed" + Table 7	"In table 1, we use A100 GPUs to run the inference speedup tests. Table 7 describes the number of GPUs and the number of parallel workers used to obtain these numbers for Ring Attention vs Star Attention." - Table 7 "Resources used for the speedup experiments", verbatim values: "8B 16K - 128K 8 4 | 256K - 512K 16 8 | 1M 32 16 | 70B 16K - 32K 8 4 | 64K 16 4 | 128K 32 8" (columns: Model Size, Seq. Length, # GPUs, # Workers).	
S12	HW-13	Infinite-LLM — distributed KVCache across a 32× A100 cluster	**A cluster of 32 A100 GPUs (4 nodes × 8).** The technique is a pooled/distributed GPU-memory KV cache and has no single-GPU mode.	https://arxiv.org/abs/2401.02669	"By leveraging a pooled GPU memory strategy across a cluster, Infinite-LLM not only significantly boosts system throughput but also supports extensive context lengths. Evaluated on a dataset with context lengths ranging from a few to 2000K tokens across a cluster with 32 A100 GPUs, Infinite-LLM demonstrates throughput improvement of 1.35-3.4x compared to state-of-the-art methods, enabling efficient and elastic LLM deployment." - §6 Evaluation "Environment" (personally re-verified by me from https://arxiv.org/html/2401.02669v1), verbatim: "Environment. We deploy DistKV-LLM on a cluster with 4 nodes and 32 GPUs. Each node has 8 NVIDIA A100 (80GB) GPUs."	
S12	HW-14	MemServe / MemPool — design requires a distributed multi-instance pool; RDMA was never implemented because only one machine was available	**The design requires multiple serving instances across a cluster with RDMA-capable interconnect. What was actually built and measured is one NVIDIA DGX H800 server with 8× H800-80GB on intra-node NVLink, using NCCL send/recv and sockets instead of RDMA.**	https://arxiv.org/abs/2406.17565 (full HTML v2: https://arxiv.org/html/2406.17565v2)		
S12	HW-15	NVIDIA Dynamo — an orchestration layer that only exists for multi-GPU / multi-node	**Multiple GPUs or multiple nodes.** The README states single-GPU users do not need it, and its KV features target NVL72/NVLink fabrics.	https://raw.githubusercontent.com/ai-dynamo/dynamo/main/README.md	"You're serving LLMs across **multiple GPUs or nodes** and need to coordinate them" … "If you're running a single model on a single GPU, your inference engine alone is probably sufficient." and "Most inference engines optimize a single GPU or a single node. Dynamo is the **orchestration layer above them** — it turns a cluster of GPUs into a coordinated inference system."	
S12	HW-16	vLLM disaggregated prefill (NIXL / Mooncake connectors) — two instances, RDMA, and MNNVL for the fast cross-node path	**At least 2 GPUs / 2 vLLM instances; RDMA NICs for the transfer; multi-node NVLink (MNNVL, GB-series) for the peer-memory path.**	`/tmp/kvsrc/vllm-main/docs/features/disagg_prefill.md` and `/tmp/kvsrc/vllm-main/docs/features/nixl_connector_usage.md`; live at https://docs.vllm.ai/en/latest/features/disagg_prefill.html	"We implement disaggregated prefilling by running 2 vLLM instances. One for prefill (we call it prefill instance) and one for decode (we call it decode instance), and then use a connector to transfer the prefill KV caches and results from prefill instance to decode instance." - RDMA requirement, verbatim (nixl_connector_usage.md): "In standard disaggregated prefilling, KV cache flows in one direction: Prefill (P) computes the KV cache and Decode (D) reads from P." … "4. D reads KV blocks from P via RDMA (peer-to-peer pull), then generates the response."	
S12	HW-17	SGLang HiSparse — a KV-memory-saving technique that *requires* PD disaggregation mode	**PD disaggregation, i.e. ≥2 GPUs (prefill instance + decode instance), for the decode instance only.**	`/tmp/kvsrc/sglang-main/docs/cookbook/autoregressive/DeepSeek/DeepSeek-V3_2.mdx` line 69; live at https://docs.sglang.ai/	"**HiSparse (experimental):** Reduces per-request GPU memory during long-context decode by offloading KV data to CPU pinned memory. Requires PD disaggregation mode (decode instance only). See [HiSparse Guide](../../../docs/advanced_features/hisparse_guide)." - Confirmed in a second cookbook page, verbatim (`docs/cookbook/autoregressive/DeepSeek/DeepSeek-V4.mdx` line 115): "…prefill/decode disaggregation, HiCache tiers, and HiSparse hierarchical sparse attention (decode-role only — the card appears once PD-Disagg mode is set to decode)."	
S12	HW-18	vLLM tensor/pipeline parallelism with InfiniBand and GPUDirect RDMA — the multi-node KV-scaling path	**Multiple GPUs; for multi-node, high-speed network adapters such as InfiniBand plus GPUDirect RDMA.**	`/tmp/kvsrc/vllm-main/docs/serving/parallelism_scaling.md`; live at https://docs.vllm.ai/en/latest/serving/parallelism_scaling.html	"**Single-node multi-GPU using tensor parallel inference:** if the model is too large for a single GPU but fits on a single node with multiple GPUs, use *tensor parallelism*. For example, set `tensor_parallel_size=4` when using a node with 4 GPUs." … "**Multi-node multi-GPU using tensor parallel and pipeline parallel inference:** if the model is too large for a single node, combine *tensor parallelism* with *pipeline parallelism*. Set `tensor_parallel_size` to the number of GPUs per node and `pipeline_parallel_size` to the number of nodes. For example, set `tensor_parallel_size=8` and `pipeline_parallel_size=2` when using 2 nodes with 8 GPUs per node."	
S12	HW-19	vLLM expert parallelism / DeepEP / NVSHMEM — multi-node and InfiniBand/MNNVL gated	**H200 or H20 node with 8 GPUs for the single-node recipe; multi-node requires DeepEP kernels, an InfiniBand/RoCE fabric, and NVSHMEM. MNNVL systems for the FlashInfer NVLink A2A backends.**	`/tmp/kvsrc/vllm-main/docs/serving/expert_parallel_deployment.md`; live at https://docs.vllm.ai/en/latest/serving/expert_parallel_deployment.html	"The following command serves a `DeepSeek-V3-0324` model with 1-way tensor parallel, 8-way (attention) data parallel, and 8-way expert parallel. The attention weights are replicated across all GPUs, while the expert weights are split across GPUs. It will work on a H200 (or H20) node with 8 GPUs. For H100, you can try to serve a smaller model or refer to the multi-node deployment section."	
S12	HW-20	LMCache — multi-node P2P KV sharing over NVLink/RDMA via NIXL	**Multiple serving engines / multiple nodes; NVLink or RDMA transports (TCP fallback) through NIXL.**	https://raw.githubusercontent.com/LMCache/LMCache/dev/README.md	"**PD disaggregation and KV transfer**: Support KV cache transfer from prefill workers to decode workers over NVLink, RDMA, or TCP through transport layers such as NIXL."	
S12	HW-21	vLLM — CPU/filesystem KV offloading tier *does* run on one GPU (negative hardware requirement)	**None beyond one GPU.** Recorded here explicitly because it is the counter-cell: vLLM's `OffloadingConnector`/`TieringOffloadingSpec` offloads KV to CPU pinned memory and secondary tiers with `cudaMemcpyAsync`, with no RDMA, NVLink, or second GPU in the documented path.	`/tmp/kvsrc/vllm-main/docs/features/kv_offloading_usage.md`; live at https://docs.vllm.ai/en/latest/features/kv_offloading_usage.html	"This guide covers configuration of the [`OffloadingConnector`](disagg_prefill.md), which extends the prefix cache by offloading completed KV blocks to slower but larger tiers (CPU host memory, plus optional secondary tiers) as they are produced. Hits in the offload tiers are promoted back to GPU on demand. Transfers between GPU and CPU use DMA (`cudaMemcpyAsync`) and run asynchronously alongside model computation, so offloading adds minimal CPU- and GPU-core overhead."	
S12	HW-22	Striped Attention (Ring Attention for causal transformers) — 8× A100-80GB on one NVLink server, or a TPU pod slice	**A single server with 8× NVIDIA A100 80GB GPUs connected with NVLink, or a TPU pod slice (4× v3 / 16× v4 chips).** Striped Attention is a *training* technique for long sequences and has no single-device form: the whole point is redistributing tokens across devices.	https://arxiv.org/abs/2311.09431 (full HTML v1: https://arxiv.org/html/2311.09431v1), §3.1 Implementation	"We run experiments on a few configurations: (1) a server with 8 NVIDIA A100 80GB GPUs connected with NVLink (2) a TPU Pod Slice with 4 TPU v3 chips, or 8 Tensor cores, and (3) a TPU Pod Slice with 16 TPU v4 chips, or 32 Tensor cores."	
